Language	ISO639_3	WALScode	Macroarea_origin	Glottocode	Family	Genus	Total_users	L2Prop	Contact	SO_Form	SO_entropy	Verb
Afrikaans 	afr	afr	Africa	afri1274	Indo-European	Germanic	17631780	0.584172443	No	Same	0.125312309	Final
Amharic 	amh	amh	Africa	amha1245	Afro-Asiatic	Semitic	57466560	0.436775753	No	Different	0.698700353	Final
Anufo	cko	anu	Africa	anuf1239	Niger-Congo	Tano	177200	0.115681234	No	Same	0.462749059	Middle
Awadhi	awa	awd	Eurasia	awad1243	Indo-European	Indic	4397400	0.010324283	No	Same	0.503258335	Final
Azerbaijani (North)	azj	NA	Eurasia	nort2697	Altaic	Turkic	15473270	0.517021	No	Different	0.751286577	Final
Bambara 	bam	bam	Africa	bamb1269	Mande	Western Mande	14183340	0.705052548	No	Same	0.453716339	Final
Belarusian	bel	blr	Eurasia	bela1254	Indo-European	Slavic	3923450	0.6091578	No	Different	0.586207104	Middle
Belize Creole English	bzj	mce	Americas	beli1260	Other	Creoles & Pidgins	170000	0.303797468	Yes	Same	0.594793659	Middle
Bislama	bis	bsm	Papunesia	bisl1239	Other	Creoles & Pidgins	210000	0.952381	Yes	Same	0.721928095	Middle
Buginese 	bug	bug	Papunesia	bugi1244	Austronesian	South Sulawesi	4398800	0.113667364	No	Same	0.631263018	Middle
Bulgarian	bul	bul	Eurasia	bulg1262	Indo-European	Slavic	8280790	0.207463713	No	Different	0.361433542	Middle
Burmese 	mya	brm	Eurasia	nucl1310	Sino-Tibetan	Burmese-Lolo	42953240	0.232811308	No	Different	0.953317131	Final
Catalan 	cat	ctl	Eurasia	stan1289	Indo-European	Romance	9241310	0.551869811	No	Same	0.223835084	Middle
Chamorro	cha	cha	Papunesia	cham1312	Austronesian	Chamorro	64300	0.282087447	No	Same	0.764204507	Initial
Chinese,Mandarin 	cmn	mnd	Eurasia	mand1415	Sino-Tibetan	Chinese	1118584040	0.1776603	No	Same	0	Middle
Croatian 	hrv	NA	Eurasia	croa1245	Indo-European	Slavic	6765010	0.036359219	No	Different	0.435523438	Middle
Dutch	nld	dut	Eurasia	dutc1256	Indo-European	Germanic	24443930	0.06566047	No	Same	0.310908678	Middle
Eastern Oromo	hae	orh	Africa	east2652	Afro-Asiatic	Lowland East Cushitic	27500000	0.072727273	No	Different	0.66959206	Final
Ekegusii	guz	gus	Africa	gusi1247	Niger-Congo	Bantu	3201470	0.156178256	No	Same	0.561752608	Middle
English 	eng	eng	Eurasia	stan1293	Indo-European	Germanic	1452471410	0.7432913	No	Same	0.102422758	Middle
Esperanto 	epo	NA	Eurasia	espe1235	Other	Artificial	101000	0.990099	Yes	Different	0.382807895	Middle
Estonian	ekk	est	Eurasia	esto1258	Uralic	Finnic	1341330	0.049950422	No	Different	0.654739489	Middle
Ewe 	ewe	ewe	Africa	ewee1241	Niger-Congo	Kwa	5525320	0.090492496	No	Same	0.79732651	Middle
Fijian 	fij	fij	Papunesia	fiji1243	Austronesian	Oceanic	654710	0.488766019	No	Same	0.845350937	Initial
